414314,414315,"What do people think about Turkey?","What do you know about Turkey as a country? What do you think about Turkish people?",True
510214,784498,"Are banks open on Sunday?","What is tidal locking?",False
596110,666882,"Why did my cheese curdle in my soup?","Why is India not able to create technology of her own in the high tech sector?",False
601160,167739,"Which are the best website design and development companies in Delhi NCR?","Why is sex important in a good relationship?",False
124384,175805,"What is the most thoughtful gift to give a girl for secret santa?","What are the most upvoted answers on Quora?",False
339264,339263,"How can one create a dog shelter that would make money?","How can one create a dog shelter that would earn money?",True
212878,123218,"What should be the best policy to reduce pollution in delhi?","What are various blogs related to mobile app development that accept guest posts?",False
331829,331830,"If Hillary Clinton wins, how would she address the concerns that average Donald Trump supporter has today?","If Hillary Clinton is elected, will she address any Republican concerns (i.e. illegal immigration, islam/isis, ect.)?",True
438243,438244,"A long distance relationship - does this work?","Do long distance relationships last?",True
273474,9500,"Which major studio should purchase Aardman Animation studios?","What are some of the inventions from the bronze age? How are they still used?",False
260527,326846,"What can I do about a bruise that won't go away?","Why is money more important than happiness?",False
29850,671275,"What was your most embarrassing experience?","What are the best books to read regarding Chanakya's life?",False
612912,612911,"How does one get a research internship at IISc?","How can I get an internship at IISc?",True
107545,107546,"How do I edit a question I asked on Quora?","How do I edit a question after I already posted it on Quora?",True
697372,697373,"How can I message some one on Quora?","How can I send a private message through Quora?",True
723795,681782,"What do you want to accomplish before you die?","How do we know that two parallel lines meet at infinity?",False
430494,281811,"Who actually invented Quora?","Can the Electoral College vote for anyone they want?",False
329883,604300,"Why is talking about my fetish online easier?","How did Donald Trump got elected when there are so many people against him?",False
688807,199054,"What are some of the best wineries to visit in Napa?","How do I search a person by photo?",False
475492,530137,"I applied oil to my hair just after straightening. And now the problem is that the oil has stuck to my hair even after repeated washing with shampoo. How can I fix this?","How can one improve his writing skills?",False
338886,210090,"I miss my family. What should I do?","What is the best way to sell a commercial property?",False
294509,294510,"What led to Cyrus Mistry ouster from TATA GROUP?","Why was cyrus mistry removed?",True
59463,682347,"Does past academic record matters in RBI selection process?","Which type of earrings are popular these days?",False
490877,152656,"How possible is it to get pregnant one day after my 3 day period?","Which is the best book in fiction?",False
53811,53812,"How do I use GitHub and whats the use of it?","What is GitHub for a beginner and how to get started with it?",True
535222,535223,"What is the QuickBooks installation support phone number?","What are the best intuit quickbooks support plans?",True
119481,575846,"Can anyone read minds?","How do I stop thinking with my dick and start thinking with my head?",False
529810,341210,"Does extraterrestrial life exist?","What is the actual use of marker interfaces in Java?",False
409964,409965,"Are some Indian tribes in the American southwest descendants of early Portuguese fishermen?","Some Indian tribes in the American southwest, are they descendants of early Portuguese fishermen?",True
788504,788505,"Why are independent schools better than public schools?","Are private schools really that much better than public schools?",True
547452,274131,"What does VPN do on my iPhone?","What else can I do to get over a breakup?",False
18434,138046,"Is hypnotism real? If yes, how does it work? Can you give a real life example?","Is Hypnotism real? How does it work?",True
378898,378899,"Will I ever find someone that'll love me as an introvert?","Will I ever find someone who loves me ? I'm an introvert with 0 friends?",True
525956,525957,"What are the ways to earn money while studying?","How can I earn money during college?",True
465189,465190,"What should half an 8 ball weigh in meth?","What should an 8 ball of meth weigh?",True
600219,600220,"Why we can feel stars twinkling?","Why do the stars in the sky flicker?",True
